date,case
3/13/2021,3183704
3/12/2021,3183704
3/11/2021,3178356
3/10/2021,3172101
3/9/2021,3164982
3/8/2021,3160970
3/7/2021,3149012
3/6/2021,3149012
3/5/2021,3149012
3/4/2021,3142358
3/3/2021,3136321
3/2/2021,3130184
3/1/2021,3204531
2/28/2021,3188553
2/27/2021,3188553
2/26/2021,3188553
2/25/2021,3180212
2/24/2021,3170644
2/23/2021,3161432
2/22/2021,3153971
2/21/2021,3133122
2/20/2021,3133122
2/19/2021,3133122
2/18/2021,3121687
2/17/2021,3107172
2/16/2021,3096343
2/15/2021,3086286
2/14/2021,3056035
2/13/2021,3056035
2/12/2021,3056035
2/11/2021,3041454
2/10/2021,3023601
2/9/2021,3005487
2/8/2021,2989085
2/7/2021,2941990
2/6/2021,2941990
2/5/2021,2941990
2/4/2021,2913425
2/3/2021,2883465
2/2/2021,2851869
2/1/2021,2822805
1/31/2021,2743119
1/30/2021,2743119
1/29/2021,2743119
1/28/2021,2705001
1/27/2021,2670102
1/26/2021,2629817
1/25/2021,2593382
1/24/2021,2499560
1/23/2021,2499560
1/22/2021,2499560
1/21/2021,2456675
1/20/2021,2412318
1/19/2021,2370742
1/18/2021,2336451
1/17/2021,2252164
1/16/2021,2252164
1/15/2021,2252164
1/14/2021,2211967
1/13/2021,2176089
1/12/2021,2137220
1/11/2021,2111782
1/10/2021,2050360
1/9/2021,2050360
1/8/2021,2050360
1/7/2021,2024904
1/6/2021,1982544
1/5/2021,1982544
1/4/2021,1958844
1/3/2021,1928265
1/2/2021,1928265
1/1/2021,1928265
12/31/2020,1928265
12/30/2020,1910218
12/29/2020,1893502
12/28/2020,1879413
12/27/2020,1854951
12/26/2020,1854951
12/25/2020,1854951
12/24/2020,1854951
12/23/2020,1842289
12/22/2020,1829903
12/21/2020,1819249
12/20/2020,1797236
12/19/2020,1797236
12/18/2020,1797236
12/17/2020,1785421
12/16/2020,1773290
12/15/2020,1762212
12/14/2020,1751884
12/13/2020,1730575
12/12/2020,1730575
12/11/2020,1730575
12/10/2020,1720056
12/9/2020,1712101
12/8/2020,1702328
12/7/2020,1702328
12/6/2020,1684647
12/5/2020,1684647
12/4/2020,1684647
12/3/2020,1675902
12/2/2020,1665775
12/1/2020,1656444
11/30/2020,1648187
11/29/2020,1628208
11/28/2020,1628208
11/27/2020,1628208
11/26/2020,1617355
11/25/2020,1605066
11/24/2020,1594844
11/23/2020,1582616
11/22/2020,1556730
11/21/2020,1556730
11/20/2020,1556730
11/19/2020,1541574
11/18/2020,1525341
11/17/2020,1510023
11/16/2020,1496864
11/15/2020,1458591
11/14/2020,1458591
11/13/2020,1458591
11/12/2020,1437220
11/11/2020,1417709
11/10/2020,1381218
11/9/2020,1381218
11/8/2020,1328832
11/7/2020,1328832
11/6/2020,1328832
11/5/2020,1306316
11/4/2020,1284408
11/3/2020,1259366
11/2/2020,1240697
11/1/2020,1185678
10/31/2020,1185678
10/30/2020,1185678
10/29/2020,1160083
10/28/2020,1136503
10/27/2020,1116738
10/26/2020,1098320
10/25/2020,1046132
10/24/2020,1046132
10/23/2020,1046132
10/22/2020,1026281
10/21/2020,1005295
10/20/2020,988322
10/19/2020,974449
10/18/2020,936560
10/17/2020,936560
10/16/2020,936560
10/15/2020,921374
10/14/2020,908056
10/13/2020,896086
10/12/2020,888968
10/11/2020,861112
10/10/2020,861112
10/9/2020,861112
10/8/2020,848324
10/7/2020,835901
10/6/2020,825410
10/5/2020,813412
10/4/2020,789932
10/3/2020,789932
10/2/2020,789932
10/1/2020,778607
9/30/2020,769188
9/29/2020,748266
9/28/2020,748266
9/27/2020,716481
9/26/2020,716481
9/25/2020,716481
9/24/2020,704209
9/23/2020,693556
9/22/2020,682267
9/21/2020,671468
9/20/2020,640040
9/19/2020,640040
9/18/2020,640040
9/17/2020,625651
9/16/2020,614360
9/15/2020,603167
9/14/2020,593730
9/13/2020,566326
9/12/2020,566326
9/11/2020,566326
9/10/2020,554143
9/9/2020,543379
9/8/2020,534513
9/7/2020,525549
9/6/2020,498989
9/5/2020,498989
9/4/2020,498989
9/3/2020,488513
9/2/2020,479554
9/1/2020,470973
8/31/2020,462858
8/30/2020,439286
8/29/2020,439286
8/28/2020,439286
8/27/2020,429507
8/26/2020,419849
8/25/2020,412553
8/24/2020,405436
8/23/2020,386054
8/22/2020,386054
8/21/2020,386054
8/20/2020,377906
8/19/2020,370867
8/18/2020,364196
8/17/2020,359082
8/16/2020,342813
8/15/2020,342813
8/14/2020,342813
8/13/2020,337334
8/12/2020,329784
8/11/2020,326612
8/10/2020,322980
8/9/2020,314362
8/8/2020,314362
8/7/2020,314362
8/6/2020,309855
8/5/2020,305767
8/4/2020,302814
8/3/2020,297054
8/2/2020,288522
8/1/2020,288522
7/31/2020,288522
7/30/2020,285430
7/29/2020,282641
7/28/2020,280610
7/27/2020,278782
7/26/2020,272421
7/25/2020,272421
7/24/2020,272421
7/23/2020,270166
7/22/2020,267551
7/21/2020,266194
7/20/2020,264836
7/19/2020,260255
7/18/2020,260255
7/17/2020,260255
7/16/2020,258855
7/15/2020,257494
7/14/2020,256619
7/13/2020,255953
7/12/2020,253908
7/11/2020,253908
7/10/2020,253908
7/9/2020,253056
7/8/2020,252513
7/7/2020,252130
7/6/2020,251789
7/5/2020,250545
7/4/2020,250545
7/3/2020,250545
7/2/2020,250103
7/1/2020,249659
6/30/2020,249271
6/29/2020,248970
6/28/2020,248770
6/27/2020,248469
6/26/2020,247905
6/25/2020,247486
6/24/2020,247086
6/23/2020,246752
6/22/2020,246504
6/21/2020,246272
6/20/2020,245938
6/19/2020,245575
6/18/2020,245268
6/17/2020,244683
6/16/2020,244328
6/15/2020,244109
6/14/2020,243928
6/13/2020,243605
6/12/2020,243209
6/11/2020,242707
6/10/2020,242280
6/9/2020,241966
6/8/2020,241717
6/7/2020,241550
6/6/2020,241310
6/5/2020,240978
6/4/2020,240660
6/3/2020,240326
6/2/2020,239932
6/1/2020,239638
5/31/2020,239479
5/30/2020,239228
5/29/2020,238564
5/28/2020,237906
5/27/2020,236259
5/26/2020,236259
5/25/2020,235400
5/24/2020,235772
5/23/2020,235290
5/22/2020,234824
5/21/2020,233037
5/20/2020,232555
5/19/2020,232037
5/18/2020,231606
5/17/2020,230698
5/16/2020,230698
5/15/2020,230183
5/14/2020,229540
5/13/2020,228691
5/12/2020,228030
5/11/2020,227436
5/10/2020,224350
5/9/2020,223578
5/8/2020,222857
5/7/2020,221447
5/6/2020,220325
5/5/2020,219329
5/4/2020,218011
5/3/2020,217466
5/2/2020,216582
5/1/2020,215216
4/30/2020,213435
4/29/2020,212917
4/28/2020,210773
4/27/2020,209465
4/26/2020,207634
4/25/2020,205905
4/24/2020,202990
4/23/2020,213024
4/22/2020,208389
4/21/2020,204178
4/20/2020,200210
4/19/2020,198674
4/18/2020,191726
4/17/2020,190839
4/16/2020,184948
4/15/2020,177644
4/14/2020,172541
4/13/2020,170099
4/12/2020,166831
4/11/2020,163027
4/10/2020,158273
4/9/2020,153222
4/8/2020,148220
4/7/2020,141942
4/6/2020,136675
4/5/2020,131646
4/4/2020,126168
4/3/2020,119199
4/2/2020,112065
4/1/2020,104118
3/31/2020,95923
3/30/2020,87956
3/29/2020,80110
3/28/2020,73235
3/27/2020,65719
3/26/2020,57786
3/25/2020,49515
3/24/2020,39885
3/23/2020,35136
3/22/2020,28768
3/21/2020,25374
3/20/2020,20410
3/19/2020,17963
3/18/2020,13910
3/17/2020,11748
3/16/2020,9942
3/15/2020,7798
3/14/2020,6391
3/13/2020,5232
3/12/2020,2277
3/11/2020,2277
3/10/2020,1695
3/9/2020,1073
3/8/2020,673
3/7/2020,500
3/6/2020,400
3/5/2020,259
3/4/2020,222
3/3/2020,165
3/2/2020,120
3/1/2020,84
2/29/2020,45
2/28/2020,32
2/27/2020,15
2/26/2020,13
2/25/2020,6
2/24/2020,2
2/23/2020,2
2/22/2020,2
2/21/2020,2
2/20/2020,2
2/19/2020,2
2/18/2020,2
2/17/2020,2
2/16/2020,2
2/15/2020,2
2/14/2020,2
2/13/2020,2
2/12/2020,2
2/11/2020,2
2/10/2020,2
2/9/2020,2
2/8/2020,1
2/7/2020,1
2/6/2020,1
2/5/2020,1
2/4/2020,1
2/3/2020,1
2/2/2020,1
2/1/2020,1
